artist_names,track_name,peak_streams,total_streams,peak_rank_max,max_days_on_chart,best_day_streams,first_appearance,uri,source,best_day_date,genres
The Weeknd,Blinding Lights,8453567,4552239347,8,1858,8453567,2023-01-01,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,Republic Records,2020-03-20,['R&B']
Harry Styles,As It Was,16103849,3640335748,40,1002,16103849,2023-01-01,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Columbia,2022-04-01,['Pop']
Lewis Capaldi,Someone You Loved,3974554,3625415177,198,2166,3974554,2023-01-01,spotify:track:7qEHsqek33rTcFNT9PFqLf,Vertigo Berlin,2019-10-30,['Alternative']
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),10629302,3233689138,4,1202,10629302,2023-01-01,spotify:track:5PjdY0CKGZdEuoNab3yDmX,Columbia,2021-08-20,[]
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,5033261,3232496846,2,2187,5033261,2023-01-02,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,Republic Records,2019-01-18,"['Filme/Videospiele', 'Filmmusik']"
Glass Animals,Heat Waves,5003951,2925100208,199,1299,5003951,2023-01-01,spotify:track:02MWAaffLxlfxAUY7c5dvx,Polydor Records,2021-12-31,['Pop']
The Neighbourhood,Sweater Weather,3342205,2833909491,195,1590,3342205,2023-01-01,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,Columbia,2024-10-04,"['Alternative', 'Rock']"
"Billie Eilish, Khalid",lovely (with Khalid),2061201,2718542796,19,2432,2061201,2023-01-01,spotify:track:0u2P5u6lvoDfwTYjAADbn4,Darkroom,2024-05-19,[]
Harry Styles,Watermelon Sugar,4321515,2596071282,14,1562,4321515,2023-01-01,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Columbia,2020-08-14,['Pop']
Tones And I,Dance Monkey,8928593,2508950138,178,1048,8928593,2022-01-01,spotify:track:2N8m6CYs74qQO4mjVcXO30,Elektra (NEK),2019-12-31,['Alternative']
Tom Odell,Another Love,3052832,2379686592,192,1355,3052832,2023-01-01,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,ITNO/Columbia,2022-12-01,"['Pop', 'International Pop', 'Rock', 'Singer & Songwriter']"
Miley Cyrus,Flowers,18424325,2331318432,3,711,18424325,2023-01-13,spotify:track:0yLdNVWF3Srea0uzk55zFn,Columbia,2023-01-20,['Pop']
Imagine Dragons,Believer,1617986,2269837915,15,2809,1617986,2023-01-01,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Kid Ina Korner / Interscope,2024-09-13,['Alternative']
SZA,Kill Bill,8455200,2255246186,5,754,8455200,2023-01-01,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Top Dawg Entertainment/RCA Records,2023-01-20,['R&B']
Taylor Swift,Cruel Summer,5405688,2242044725,5,694,5405688,2023-03-18,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,2023-10-20,[]
Arctic Monkeys,I Wanna Be Yours,3186952,2200010250,198,909,3186952,2023-01-01,spotify:track:5XeFesFbtLpXzIVDNQP22n,Domino Recording Co,2023-11-30,['Alternative']
Dua Lipa,Don't Start Now,6100930,2095870237,7,1152,6100930,2023-01-01,spotify:track:3PfIrDoz19wz7qK7tYeu62,Urban,2020-03-27,['Pop']
"Shawn Mendes, Camila Cabello",Señorita,9936178,2046641079,1,1021,9936178,2023-01-11,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,Island Records,2019-07-05,['Pop']
Coldplay,Yellow,3078369,1988346631,198,1461,3078369,2023-01-01,spotify:track:3AJwUDP919kvQ9QcozQPxg,Parlophone UK,2024-09-23,['Rock']
Ed Sheeran,Perfect,1758112,1984765790,3,2655,1758112,2023-01-01,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Atlantic Records UK,2024-11-21,"['Pop', 'Singer & Songwriter']"
"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,5699348,1968576998,64,1006,5699348,2023-01-01,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,EMI,2021-12-31,[]
The Weeknd,Die For You,3554197,1944001238,161,1061,3554197,2023-01-01,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,Universal Republic Records,2023-02-24,['R&B']
Manuel Turizo,La Bachata,4806467,1934066011,187,851,4806467,2023-01-01,spotify:track:5ww2BF9slyYgNOk37BlC4u,Sony Music Latin/La Industria,2022-10-22,"['Rap/Hip Hop', 'Pop', 'Latin Musik']"
"The Weeknd, Daft Punk",Starboy,2677944,1919239868,1,1549,2677944,2023-01-01,spotify:track:7MXVkk9YMctZqd1Srtv4MB,Universal Republic Records,2024-01-26,[]
Post Malone,Circles,7292777,1887959193,2,1187,7292777,2023-05-02,spotify:track:21jGcNKet2qwijlDFuPiPb,Republic Records,2019-09-06,['Rap/Hip Hop']
Billie Eilish,bad guy,7220348,1886162768,1,948,7220348,2022-01-01,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Darkroom/Interscope Records,2019-04-01,['Alternative']
"David Guetta, Bebe Rexha",I'm Good (Blue),6863607,1869170185,42,808,6863607,2023-01-01,spotify:track:4uUG5RXrOk84mYEfFvj3cK,Parlophone UK,2022-12-31,['Dance']
The Weeknd,Save Your Tears,5000774,1763461098,20,1188,5000774,2023-01-01,spotify:track:5QO79kh1waicV47BqGRL3g,Republic Records,2021-02-08,['R&B']
Sabrina Carpenter,Espresso,11692253,1747902828,16,264,11692253,2024-04-12,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Island Records,2024-06-07,['Pop']
Billie Eilish,BIRDS OF A FEATHER,10082989,1744084939,8,229,10082989,2024-05-17,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Darkroom/Interscope Records,2024-06-11,[]
Vance Joy,Riptide,2526786,1730069225,197,1420,2526786,2023-01-01,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,F-Stop Records/Atlantic,2024-01-26,['Alternative']
Benson Boone,Beautiful Things,9256894,1691419476,16,348,9256894,2024-01-19,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,"Night Street Records, Inc./Warner Records Inc.",2024-04-05,['Pop']
OneRepublic,I Ain't Worried,3861127,1659584902,160,793,3861127,2023-01-01,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,Interscope Records,2022-10-21,"['Filme/Videospiele', 'Filmmusik']"
"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),8808346,1629821771,7,564,8808346,2023-01-01,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,Columbia,2021-09-17,[]
Olivia Rodrigo,good 4 u,12586645,1622311439,13,549,12586645,2023-01-01,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo PS,2021-05-25,['Pop']
Ed Sheeran,Shape of You,1887556,1619243788,1,2407,1887556,2023-01-01,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Atlantic Records UK,2024-12-31,"['Pop', 'Singer & Songwriter']"
"Bad Bunny, Chencho Corleone",Me Porto Bonito,8738392,1606842723,4,576,8738392,2023-01-01,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Rimas Entertainment LLC,2022-05-06,['Latin Musik']
Olivia Rodrigo,drivers license,13714177,1595963086,46,692,13714177,2023-01-08,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo PS,2021-01-15,['Pop']
"Dua Lipa, DaBaby",Levitating (feat. DaBaby),4626710,1581427006,100,812,4626710,2023-01-01,spotify:track:5nujrmhLynf4yMoMtj8AQF,Urban,2021-05-15,[]
Tate McRae,greedy,6282050,1557460665,14,466,6282050,2023-09-15,spotify:track:3rUGC1vUpkDG9CZFHMur1t,RCA Records Label,2023-11-17,"['Alternative', 'Pop']"
James Arthur,Say You Won't Let Go,1903496,1550587628,7,2321,1903496,2023-01-04,spotify:track:5uCax9HTNlzGybIStD3vDh,Columbia,2024-09-12,"['Pop', 'International Pop', 'Rock']"
