rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,date,year-month,genres
94,spotify:track:6OZh916QF8XNunWaP97WEZ,"Jonas Blue, Dakota",Fast Car,Positiva,94,-1,1,567927,2017-01-01,2017-01,['Electronic']
125,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,Foster The People,Pumped Up Kicks,Columbia,125,-1,1,467384,2017-01-01,2017-01,"['Alternative/Indie', 'Pop']"
126,spotify:track:3pzjHKrQSvXGHQ98dx18HI,Justin Bieber,What Do You Mean?,RBMG/Def Jam,126,-1,1,464343,2017-01-01,2017-01,"['Electronic', 'Pop']"
127,spotify:track:1rIKgCH4H52lrvDcz50hS8,Zara Larsson,Lush Life,Epic/Record Company TEN,127,-1,1,460606,2017-01-01,2017-01,"['Electronic', 'Pop']"
128,spotify:track:2FBUoWkIuQXwayw2RNo5l6,Drake,Hotline Bling,Cash Money Records/Young Money Ent./Universal Rec.,128,-1,1,459418,2017-01-01,2017-01,"['R&B/Soul', 'Hip Hop']"
129,spotify:track:3kxfsdsCpFgN412fpnW85Y,Childish Gambino,Redbone,Glassnote - VMG,129,-1,1,455949,2017-01-01,2017-01,"['R&B/Soul', 'Electronic', 'Pop']"
130,spotify:track:0gb1J5UrTpzaU1s3nupgCd,Galantis,No Money,Big Beat Records,130,-1,1,453779,2017-01-01,2017-01,['Electronic']
131,spotify:track:5b88tNINg4Q4nrRbrCXUmg,Pharrell Williams,"Happy - From ""Despicable Me 2""",Columbia,131,-1,1,453426,2017-01-01,2017-01,"['R&B/Soul', 'Pop', 'Hip Hop']"
132,spotify:track:4sPmO7WMQUAf45kwMOtONw,Adele,Hello,XL Recordings,132,-1,1,448638,2017-01-01,2017-01,"['R&B/Soul', 'Pop']"
133,spotify:track:5nA67Y0XX9JipZwYxX7Gl7,Niall Horan,This Town,Capitol Records (US1A),133,-1,1,445379,2017-01-01,2017-01,"['Folk', 'Pop']"
134,spotify:track:12REd1n8PeiHHWOh066tpr,"Flume, kai",Never Be Like You,Transgressive,134,-1,1,445025,2017-01-01,2017-01,['Electronic']
